starter_id,recipe,hydration_pct,flour_type,fermentation_schedule,serving_notes,source
SS-019,Damper,70,bread flour (self-raising optional),Feed starter 12h; mix simple dough with flour + water + pinch salt; shape into round loaf; bake in camp oven coals 200C 30-40min or wrap around stick over fire,Australian bush bread; crusty outside; dense chewy inside; traditionally made with native wattle seed; tear apart and eat with golden syrup,Australian outback bush cooking
SS-020,Tsampa Bread,60,roasted barley flour (tsampa),Feed starter 8h with barley flour; mix stiff dough with tsampa + butter tea (po cha); shape flat rounds; bake on hot stone or griddle 10-15min per side,Dense chewy barley bread; nutty roasted flavor from tsampa; traditionally eaten with yak butter tea; sustaining at high altitude,Tibetan Highland baking tradition
SS-025,Naan-e Khamiri,72,bread flour + whole wheat (70:30),Feed khamiri starter 10h; mix with yogurt + nigella seeds + sugar; bulk 3-4h in warm spot; shape ovals; press dimples; bake in tandoor or 300C oven 5-8min,Soft leavened flatbread; slightly sweet and tangy; bubbly charred surface; served with kebab and stew; Kabul street food staple,Afghan naan bakery tradition
SS-026,Shotis Puri,70,bread flour,Feed puri starter 8h; mix dough; rest 2h; shape into canoe/boat form with pointed ends; slap onto inner wall of tone (clay oven); bake 5-7min until golden,Canoe-shaped Georgian bread; crisp outside; soft pillowy inside; baked stuck to clay oven wall; tear and fill with cheese or stew,Georgian tone oven tradition
SS-028,Arctic Rye Loaf,85,dark rye flour + lichen flour (90:10),Feed starter 12h with rye; mix thick batter with dried ground lichen (cetraria islandica) and sea salt; ferment 12-18h; bake in sealed pot 170C 2h,Dense dark loaf; earthy mineral character from arctic lichen; traditional survival bread; extremely long-keeping in cold storage,Greenlandic Inuit-Danish fusion baking
SS-029,Experimental Rye Boule,80,heritage rye flour (whole grain),Feed starter 12h; autolyse 20min; bulk 5-6h at cool temperature; shape round; cold retard 16-24h; bake 240C Dutch oven with steam,Open-crumb rye boule; showcasing pure heritage rye flavor; experimental approach to push rye sourdough beyond traditional dense loaves,Modern heritage grain baking
SS-031,Wild Spelt Batard,68,whole spelt flour (stone-ground),Feed wild starter 10h with spelt; autolyse 45min; gentle stretch-and-fold 4x over 2h; bulk total 5h; shape batard; cold retard overnight; bake 245C Dutch oven,Nutty aromatic batard; open-ish crumb from extensible spelt gluten; wild starter gives complex fruity-floral notes; slice thick and toast,Tasmanian artisan baking
SS-032,Makgeolli Bread,90,rice flour + bread flour (60:40),Feed nuruk starter 12h with rice flour; mix batter with wheat flour; ferment 6-8h until bubbly and fragrant; pour into oiled pan; steam 40min or bake 180C 35min,Soft spongy steamed bread; subtle sweetness from rice fermentation; faint fruity-yeasty aroma from nuruk culture; pairs with Korean stews,Korean fermentation tradition adapted
SS-034,Beni-Imo Steamed Bread,85,rice flour + sweet potato flour (50:50),Feed starter 8h with rice flour; mix batter with mashed beni-imo (purple sweet potato) + sugar; pour into steaming molds; steam 30-40min,Vivid purple steamed bread; naturally sweet from Okinawan sweet potato; soft mochi-like texture; served as snack or dessert; pairs with green tea,Okinawan home cooking adapted
SS-035,Carl Griffith's 1847 Country White,70,bread flour (unbleached),Feed dried starter 2-3 times over 24h to revive; autolyse 30min; bulk 4-5h with folds; shape batard; cold retard overnight; bake 245C Dutch oven,Classic American country loaf; balanced tang; open crumb; the taste of the Oregon Trail,Friends of Carl community adapted
