calendar_id,zone,crop,type,sow_start,sow_end,vernalization_weeks,expected_harvest,notes
PC-065,2-3,currant,perennial,May 10,Jun 05,0,Year 2-3 (first fruit),Black and red currant very cold-hardy; plant bare-root in spring; rich in vitamin C
PC-066,4-5,currant,perennial,Apr 10,May 05,0,Year 2 (first fruit),Spring or fall planting; prune oldest wood annually; productive for 10-15 years
PC-067,2-3,gooseberry,perennial,May 10,Jun 05,0,Year 2-3 (first fruit),Hardy to zone 2; thorny and thornless cultivars; excellent for preserves and fresh eating
PC-068,4-5,gooseberry,perennial,Apr 10,May 05,0,Year 2 (first fruit),Spring or fall plant; partial shade tolerated; mildew-resistant cultivars recommended
PC-069,2-3,saskatoon,perennial,May 10,Jun 05,0,Year 3-4 (first fruit),Native Amelanchier; extremely cold-hardy; prairie-adapted; excellent wildlife and food crop
PC-070,4-5,blueberry,perennial,Apr 15,May 10,0,Year 3-4 (first fruit),Requires acidic soil pH 4.5-5.5; half-high types for zone 4; highbush for zone 5; heavy mulch
PC-071,2-3,pea,spring,May 15,Jun 05,0,Aug 15-Sep 15,90-120 day field pea; nitrogen-fixing; good break crop in cereal rotations; cold-tolerant seedlings
PC-072,3-4,pea,spring,May 01,May 25,0,Aug 01-Sep 01,Standard spring pea window; sow as soon as soil workable; inoculate seed with rhizobia
PC-073,4-5,pea,spring,Apr 10,May 05,0,Jul 15-Aug 15,80-110 days to maturity; earlier sowing extends season; excellent green manure if plowed under
PC-074,2-3,faba bean,spring,May 15,Jun 05,0,Sep 01-Sep 30,90-120 days; very cold-tolerant seedlings; heavy nitrogen fixer; traditional Nordic protein crop
PC-075,3-4,faba bean,spring,May 01,May 20,0,Aug 15-Sep 15,Spring faba bean; sow deep (8-10 cm); aphid-prone mid-season; harvest at black-pod stage
PC-076,4-5,faba bean,spring,Apr 10,May 05,0,Jul 25-Aug 25,80-110 days; earlier sowing improves yield; excellent companion in cereal rotations
PC-077,3-4,grape (cold-climate),perennial,May 15,Jun 10,0,Year 3-4 (first fruit),Hybrids like Marquette and Frontenac; trellis system essential; winter protect vines year 1-2
PC-078,4-5,grape (cold-climate),perennial,Apr 20,May 15,0,Year 3 (first fruit),Wider hybrid selection; Solaris and Rondo for wine; table grapes possible in sheltered sites
PC-079,5,grape (cold-climate),perennial,Apr 01,Apr 30,0,Year 2-3 (first fruit),Best cold-climate grape zone; full range of interspecific hybrids; south-facing slope ideal
