variety,seeding_rate,seeding_depth,seeding_window,days_to_maturity,row_spacing,harvest_notes,seed_sources,grower_tips,bread_notes,malt_profile,falling_number,test_weight,sourdough_notes,end_use,species,malt_type,modification,diastatic_power,color_lovibond,extract_potential_pct,kilning_notes,flour_extraction_pct,ash_content_pct,gluten_strength,water_absorption_pct,ideal_stone_type,milling_notes
Rouge de Bordeaux,100-130 kg/ha,3-5 cm,Oct 01-Nov 15 (winter),280-310,15-18 cm,Heritage French winter wheat; tall; harvest when ears droop; beautiful red kernels,Heritage Grain Conservancy;Association Kokopelli,19th century French bread wheat; fine pastry wheat; revived by French artisan bakers,Exceptional pastry and bread wheat; moderate protein 11-13%; extensible gluten; famous for flavor,,,76-80 kg/hl,Legendary French sourdough wheat; buttery and sweet with complex aromatics; the wheat of pain de campagne,bread;sourdough;pastry,Triticum aestivum,,,,,,,,,,,,
Turkey Red,100-130 kg/ha,3-5 cm,Sep 15-Oct 15 (winter),280-310,15-18 cm,Heritage hard red winter wheat; moderate yield; harvest at low moisture,GRIN/NPGS;Heritage Grain Conservancy;Kansas Wheat Alliance,Mennonite wheat brought from Ukraine to Kansas (1874); foundation of US Great Plains wheat industry,Historic bread wheat; 11-13% protein; the original Kansas wheat; excellent for hearth breads,,250-300 s,78-82 kg/hl,Rich heritage sourdough character; slightly sweet; the wheat that Carl Griffith's starter was likely raised on,bread;sourdough,Triticum aestivum,,,,,,,,,,,,
Ölandsvete,80-100 kg/ha,2-3 cm,Sep 01-Sep 20 (winter),280-310,12-15 cm,Heritage wheat; tall; low input; harvest at golden straw; may lodge,NordGen;Allkorn;Gotland Grain,Ancient Swedish landrace from Öland island; pre-industrial genetics; recently revived by heritage bakers,Delicate bread wheat; 10-12% protein; soft extensible gluten; best for hearth breads and flatbreads,,200-260 s,72-76 kg/hl,Superb heritage sourdough; delicate sweet flavor with floral notes; the taste of pre-industrial Sweden,bread;sourdough,Triticum aestivum,,,,,,,63-68,0.65-0.80,weak,52-56,natural sandstone; very slow,Ancient landrace; fragile grain; stone mill only
Julius,120-150 kg/ha,3-4 cm,Sep 15-Oct 10 (winter),280-310,12-15 cm,Modern winter wheat; good standability; harvest at 14% moisture,KWS;commercial,German/Nordic winter wheat; high yield; widely grown across Northern Europe,Good bread quality; reliable milling wheat,,,78-82 kg/hl,Standard sourdough wheat; clean neutral flavor,bread,Triticum aestivum,,,,,,,,,,,,
Stava,120-150 kg/ha,3-4 cm,Sep 01-Sep 25 (winter),280-310,12-15 cm,Swedish winter wheat; harvest at golden straw; reliable,Lantmannen;NordGen,Swedish winter wheat; industry quality,,,,,Serviceable bread wheat for blending,bread,Triticum aestivum,,,,,,,,,,,,
Skagen,120-150 kg/ha,3-4 cm,Sep 15-Oct 10 (winter),280-310,12-15 cm,Danish winter wheat; good standability; harvest at 14% moisture,Nordic Seed;NordGen,Wide adaptation across Scandinavia and Baltics,,,,,Standard bread wheat,bread,Triticum aestivum,,,,,,,,,,,,
Urho,110-130 kg/ha,3-4 cm,Aug 25-Sep 15 (winter),290-320,12-15 cm,Winter wheat; check winterhardiness carefully in exposed sites,Boreal;NordGen,Extreme winterhardiness; Finnish breeding parent,Moderate bread quality; suited for blending,,,,Mild sourdough wheat; blends well with rye in Finnish mixed-grain breads,bread;dual-purpose,Triticum aestivum,,,,,,,,,,,,
Brons,120-150 kg/ha,3-4 cm,Sep 01-Sep 25 (winter),280-310,12-15 cm,Industry quality winter wheat; good yield; reliable,Lantmannen;NordGen,Swedish winter wheat; industry quality,,,,,Serviceable bread wheat for blending,bread,Triticum aestivum,,,,,,,,,,,,
Ceylon,120-150 kg/ha,3-4 cm,Sep 01-Oct 01 (winter),280-310,12-15 cm,Widely adapted winter wheat; reliable across Nordic and Baltic regions,NordGen;commercial,Wide adaptation across Scandinavia and Baltics,,,,,Standard bread wheat,bread,Triticum aestivum,,,,,,,,,,,,
Mironovskaya 808,110-130 kg/ha,3-5 cm,Sep 01-Sep 25 (winter),280-310,15-18 cm,Very winter hardy; classic Soviet-era wheat; harvest when straw turns golden,GRIN/NPGS;VIR,Legendary Ukrainian winter wheat; extreme winterhardiness,Good bread quality; widely grown in Soviet Union for bread production,,,,Decent sourdough wheat; robust for continental cold climates,bread,Triticum aestivum,,,,,,,,,,,,
Puma,120-150 kg/ha,3-4 cm,Sep 01-Sep 25 (winter),280-310,12-15 cm,Swedish winter wheat; reliable bread quality; good standability,Lantmannen;NordGen,Swedish winter wheat; good bread quality,,,,,Standard sourdough wheat,bread,Triticum aestivum,,,,,,,,,,,,
Olivin,130-160 kg/ha,3-4 cm,Sep 15-Oct 10 (winter),280-310,12-15 cm,Short-strawed; good lodging resistance; southern Scandinavia,Lantmannen;NordGen,Short-strawed winter wheat for southern Scandinavia,,,,,Standard bread wheat,bread,Triticum aestivum,,,,,,,,,,,,
Fredrick,100-130 kg/ha,3-5 cm,Sep 01-Sep 25 (winter),280-310,15-18 cm,Winter wheat; adapted to prairie winters; harvest at 14% moisture,SeCan;GRIN/NPGS,Canadian winter wheat; adapted to prairie winters,,,,,Fair bread wheat for blending,bread,Triticum aestivum,,,,,,,,,,,,
CDC Buteo,100-130 kg/ha,3-5 cm,Sep 01-Sep 25 (winter),280-310,15-18 cm,Hard red winter wheat; good test weight; harvest at 14% moisture,SeCan;CDC,Canadian Western Red Winter wheat,Good bread quality; hard red winter class,,,,Reliable sourdough wheat for prairie bakers,bread,Triticum aestivum,,,,,,,,,,,,
Bezostaya 1,120-150 kg/ha,3-5 cm,Sep 01-Oct 01 (winter),280-310,15-18 cm,Legendary breeding parent; harvest when grain is hard and straw golden,GRIN/NPGS;VIR,Legendary Russian winter wheat; foundation of many modern cultivars,Excellent bread quality; 12-14% protein; important breeding parent worldwide,,,,Good sourdough wheat; historic importance in global wheat breeding,bread,Triticum aestivum,,,,,,,,,,,,
Moskovskaya 39,110-130 kg/ha,3-5 cm,Aug 25-Sep 20 (winter),280-310,15-18 cm,Cold-adapted winter wheat; Moscow-region breeding; harvest at golden straw,VIR;GRIN/NPGS,Russian winter wheat bred for Moscow region,Moderate bread quality,,,,Standard sourdough wheat; extreme cold adaptation,bread,Triticum aestivum,,,,,,,,,,,,
Pamyati Fedina,130-160 kg/ha,3-4 cm,Sep 01-Sep 25 (winter),280-310,12-15 cm,Semi-dwarf; good lodging resistance; modern winter wheat,VIR;GRIN/NPGS,Russian semi-dwarf winter wheat,,,,,Modern bread wheat with cold tolerance,bread,Triticum aestivum,,,,,,,,,,,,
Zdar,120-150 kg/ha,3-5 cm,Sep 15-Oct 10 (winter),280-310,12-15 cm,Central European winter wheat; widely tested in Nordic trials,GRIN/NPGS;NordGen,Czech winter wheat; widely tested in Nordic trials,Good bread quality,,,,Standard Central European sourdough wheat,bread,Triticum aestivum,,,,,,,,,,,,
Bamse,120-150 kg/ha,3-4 cm,Sep 01-Sep 25 (winter),280-310,12-15 cm,Strong straw; good lodging resistance; reliable yield,Lantmannen;NordGen,Swedish winter wheat; strong straw,,,,,Standard sourdough wheat,bread,Triticum aestivum,,,,,,,,,,,,
Runar,130-160 kg/ha,3-4 cm,Apr 20-May 15 (spring),95-110,12-15 cm,Spring wheat; harvest at golden straw; central and northern Norway,Graminor;NordGen,Norwegian spring wheat; grown in central/northern Norway,Moderate bread quality,,,,Clean mild sourdough wheat,bread,Triticum aestivum,,,,,,,,,,,,
Semu 509,120-150 kg/ha,3-4 cm,Sep 01-Sep 25 (winter),280-310,12-15 cm,Baltic winter wheat; adapted to Estonian conditions; reliable,NordGen;Jõgeva Plant Breeding,Estonian winter wheat for Baltic conditions,Moderate bread quality,,,,Standard sourdough wheat for Baltic climates,bread,Triticum aestivum,,,,,,,,,,,,
Fredrika,130-160 kg/ha,3-4 cm,Sep 01-Sep 25 (winter),280-310,12-15 cm,Modern winter wheat; high yield potential; good winter survival,Graminor;Felleskjopet,Recent Graminor release; high yield and winter survival,,,,,Modern bread wheat for Nordic conditions,bread,Triticum aestivum,,,,,,,,,,,,
Kelliher,100-130 kg/ha,3-5 cm,Sep 01-Sep 25 (winter),280-310,15-18 cm,Hard red winter wheat; prairie adapted; harvest at 14% moisture,SeCan;CDC,Canadian CWRW class; prairie adapted,Good bread quality; hard red winter,,,,Reliable prairie sourdough wheat,bread,Triticum aestivum,,,,,,,,,,,,
AC Hazlet,90-110 kg/ha,3-5 cm,Sep 01-Sep 20 (winter),280-310,15-18 cm,Extreme winterhardiness; bred for survival; drought tolerant,SeCan;GRIN/NPGS,Extreme winterhardiness; drought tolerant; Saskatchewan,Moderate bread quality; bred for survival above all,,,,Fair sourdough wheat; extreme hardiness over flavor,bread;dual-purpose,Triticum aestivum,,,,,,,,,,,,
Glasgow,130-160 kg/ha,3-4 cm,Oct 01-Nov 15 (winter),280-310,12-15 cm,Northern UK milling wheat; harvest at 15% moisture; good yield,commercial;AHDB Recommended List,Scottish milling wheat; northern UK,Good milling quality,,,,Standard sourdough wheat for maritime climates,bread,Triticum aestivum,,,,,,,,,,,,
Belenus,120-150 kg/ha,3-4 cm,Sep 15-Oct 10 (winter),280-310,12-15 cm,Northern European winter wheat; good bread quality; reliable,NordGen;commercial,Northern European winter wheat,Good bread quality,,,,Standard sourdough wheat,bread,Triticum aestivum,,,,,,,,,,,,
KWS Lili,140-170 kg/ha,3-4 cm,Oct 01-Nov 15 (winter),280-310,12-15 cm,High yield feed wheat; harvest for grain volume not quality,KWS;commercial,High yield feed wheat; northern UK,Feed quality primarily,,,,Not ideal for sourdough; feed-type wheat,feed,Triticum aestivum,,,,,,,,,,,,
Vísir,120-150 kg/ha,3-4 cm,May 10-Jun 01 (spring),85-100,12-15 cm,Short-season spring wheat; harvest promptly; Icelandic conditions,Icelandic Agricultural University;NordGen,Icelandic spring wheat; experimental cultivation,Limited bread data,,,,Experimental sourdough wheat; short-season Icelandic type,bread,Triticum aestivum,,,,,,,,,,,,
Borlaug 100,130-160 kg/ha,3-5 cm,Apr 01-May 01 (spring),90-110,15-18 cm,High-yield spring wheat; semi-dwarf; harvest at 13% moisture,CIMMYT;commercial,Green Revolution tribute variety; high yield potential,Modern high-yield bread wheat; Norman Borlaug legacy,,,,Clean neutral sourdough wheat; modern genetics,bread,Triticum aestivum,,,,,,,,,,,,
Norin 10,130-160 kg/ha,3-4 cm,Oct 01-Nov 15 (winter),280-310,12-15 cm,Semi-dwarf; Green Revolution parent; primarily historical and research,GRIN/NPGS;NARO Japan,Semi-dwarf Japanese wheat; foundation of Green Revolution,Historic breeding parent; semi-dwarf gene source; moderate bread quality,,,,Historically significant in sourdough context; parent of modern short wheats,bread,Triticum aestivum,,,,,,,,,,,,
